Step,CPU,TotEng,KinEng,PotEng,E_vdwl,E_coul,E_long,Temp,Press,Volume,Density
150000,556.22337,19106.949,18649.568,457.38039,-2816.516,54820.563,-71940.651,362.08945,-6.8011817,230956.98,1.3327295
151000,559.79086,19253.749,18817.978,435.7711,-2781.9058,54776.732,-71939.468,365.35921,100.47466,232251.53,1.325301
152000,563.32432,19246.093,18898.509,347.58377,-2741.4708,54805.215,-71933.519,366.92276,40.832921,231365.25,1.3303778
153000,566.88253,19510.388,18710.732,799.6555,-2771.9757,54851.55,-71920.379,363.27698,159.62868,231631.93,1.328846
154000,570.50206,19096.169,18582.204,513.96493,-2790.0355,54826.852,-71938.723,360.78154,84.799339,230456.11,1.335626
155000,574.36435,18986.194,18538.695,447.49974,-2740.5157,54895.564,-71954.307,359.93679,-65.232529,232594.07,1.3233492
156000,577.99832,19331.31,18746.769,584.54104,-2769.8637,54970.31,-71951.875,363.97665,61.737502,232109.42,1.3261124
157000,581.51804,19450.329,18726.284,724.04469,-2704.6704,54858.263,-71948.398,363.57893,121.93065,230799.18,1.3336407
158000,585.04252,19287.808,18466.449,821.35905,-2720.0736,54895.349,-71946.11,358.53411,96.482605,231969.33,1.3269133
159000,588.57874,19429.222,18708.934,720.28795,-2737.9092,54825.953,-71947.25,363.24206,114.80748,230835.66,1.3334299
160000,592.5849,19136.239,18691.362,444.87717,-2740.0206,54788.916,-71952.114,362.9009,-173.35043,230710.91,1.3341509
161000,596.70465,19023.007,18736.851,286.15604,-2720.223,54877.068,-71937.623,363.78409,53.884882,231226.41,1.3311766
162000,600.24927,19456.809,18783.536,673.27307,-2778.6902,54897.249,-71922.339,364.6905,208.45618,231983.85,1.3268302
163000,603.76589,19215.063,18605.719,609.34419,-2870.1095,54876.32,-71935.407,361.2381,-47.525404,232228.23,1.325434
164000,607.32349,18983.562,18556.58,426.98195,-2753.4628,54861.011,-71928.361,360.28404,-190.51938,231238.25,1.3311084
165000,611.01743,19137.895,18730.54,407.3549,-2810.9319,54886.548,-71941.374,363.66155,201.44143,231583.35,1.3291248
166000,614.9591,19243.899,18706.742,537.15716,-2730.0555,54851.2,-71924.999,363.1995,-10.954494,231365.36,1.3303771
167000,618.51506,19220.09,18693.832,526.25817,-2743.5717,54857.105,-71945.73,362.94885,92.144989,232534.5,1.3236882
168000,622.02145,18693.167,18540.718,152.44898,-2758.1827,54809.565,-71947.626,359.97609,-56.76691,231754,1.3281461
169000,625.51322,19166.478,18781.356,385.12154,-2818.0934,54912.579,-71939.113,364.64817,61.806798,231682.53,1.3285558
170000,629.05598,19104.37,18644.359,460.01079,-2725.5891,54814.981,-71939.434,361.98832,20.908848,232762.44,1.322392
171000,633.1186,19258.214,18785.483,472.73115,-2738.2129,54773.122,-71926.35,364.72829,75.381265,230709.91,1.3341568
172000,637.14409,19181.278,18793.668,387.6097,-2777.6208,54846.124,-71946.659,364.88722,169.56368,231555.09,1.3292871
173000,640.66416,19350.311,18821.655,528.65566,-2779.6091,54770.519,-71928.53,365.43059,278.38092,230024.24,1.3381337
174000,644.20511,19019.338,18649.847,369.49054,-2732.8721,54807.875,-71946.444,362.09487,-118.37856,231773.05,1.328037
175000,647.84691,18814.685,18416.173,398.51183,-2744.0504,54850.078,-71930.367,357.55799,-87.363542,231714.15,1.3283745
176000,651.60643,19370.288,18859.441,510.84697,-2761.6844,54757.429,-71928.901,366.16422,142.06951,230918.18,1.3329534
177000,655.50501,19087.114,18616.339,470.77545,-2778.0335,54791.645,-71940.758,361.44429,48.760508,231048.11,1.3322039
178000,659.07871,19057.488,18716.689,340.79912,-2776.7018,54863.156,-71940.089,363.39263,-152.66999,232434.54,1.3242575
179000,663.03151,19390.111,18794.942,595.16891,-2788.5454,54947.165,-71932.322,364.91196,3.9315709,232390.7,1.3245073
180000,666.55618,19093.056,18561.419,531.63721,-2829.261,54893.658,-71926.351,360.378,-6.3765013,231173.4,1.3314818
181000,670.10849,19249.706,18753.483,496.22355,-2847.3744,54795.144,-71962.298,364.107,194.92007,228834.03,1.3450935
182000,674.35302,19022.8,18609.106,413.69464,-2822.504,54830.531,-71919.131,361.30386,82.766302,230480.61,1.3354841
183000,678.18782,19169.64,18873.901,295.73881,-2828.6989,54861.328,-71943.407,366.44498,111.35421,231238.57,1.3311066
184000,681.75996,19123.011,18716.615,406.39658,-2766.0603,54886.465,-71922.295,363.39119,-195.88271,232296.53,1.3250442
185000,685.29478,19221.48,18589.536,631.94378,-2725.5292,54783.267,-71929.251,360.9239,-35.466073,231983.25,1.3268337
186000,688.78821,19266.702,18826.153,440.54985,-2772.8334,54777.024,-71950.784,365.51791,166.27653,232170.86,1.3257614
187000,692.63408,18669.181,18494.3,174.88097,-2811.7596,54812.011,-71960.882,359.07485,-219.41028,231605.79,1.328996
188000,696.46689,19289.985,18858.205,431.78001,-2857.0516,54944.766,-71945.979,366.14023,-41.390915,231271.15,1.3309191
189000,700.03518,19019.91,18523.301,496.60864,-2731.9997,54856.268,-71922.397,359.63792,25.620675,230762.4,1.3338533
190000,703.54122,19263.493,18773.192,490.30099,-2945.4528,54901.989,-71939.543,364.48966,-110.04803,230161.41,1.3373362
191000,707.06318,19259.005,18610.583,648.4219,-2858.6733,54876.684,-71943.793,361.33254,95.448916,231992.63,1.32678
192000,710.62083,18911.608,18518.173,393.4345,-2779.2146,54815.016,-71938.618,359.53836,233.71456,231176.13,1.3314661
193000,714.89399,18867.021,18655.202,211.81882,-2806.981,54826.507,-71953.393,362.19884,-77.53624,231627.05,1.3288741
194000,718.66842,19074.213,18778.23,295.9832,-2883.3451,54796.733,-71933.821,364.58747,196.82369,231227.29,1.3311715
195000,722.25484,19141.292,18607.838,533.45341,-2762.0715,54840.844,-71970.901,361.27925,-198.48379,231976.68,1.3268712
196000,725.83838,19064.341,18591.73,472.61111,-2801.5582,54819.984,-71952.893,360.9665,32.758704,231183.51,1.3314236
197000,729.36504,19255.496,18627.579,627.91637,-2793.9405,54898.791,-71935.372,361.66253,-120.78353,231949.19,1.3270285
198000,733.22434,19187.195,18880.868,306.32765,-2807.5958,54813.535,-71932.75,366.58023,74.697422,232151.11,1.3258742
199000,736.97132,19188.597,18686.655,501.94199,-2797.6997,54768.237,-71933.8,362.80951,54.677689,231070.93,1.3320723
200000,740.57932,19235.403,18762.694,472.70832,-2752.7374,54881.717,-71944.452,364.28584,19.368356,232218.38,1.3254902
201000,744.09576,19138.445,18515.02,623.42511,-2815.3777,54827.935,-71945.288,359.47715,-50.839558,232244.15,1.3253431
202000,747.58961,19351.51,18805.128,546.38165,-2757.638,54772.875,-71937.722,365.10972,219.81641,232020.16,1.3266225
203000,751.18962,19294.967,18679.543,615.42496,-2768.0023,54868.747,-71945.343,362.67142,-116.9994,231868.46,1.3274905
204000,755.38117,19278.766,18946.311,332.45424,-2883.3266,54888.379,-71933.014,367.85085,-71.569273,231789.38,1.3279434
205000,759.13279,19287.499,18835.809,451.68954,-2838.8181,54830.717,-71960.74,365.7054,-2.7796154,229805.77,1.3394058
206000,762.74454,19306.541,18733.336,573.20458,-2776.7627,54832.896,-71930.062,363.71584,-127.8923,230803.87,1.3336136
207000,766.31937,19012.06,18775.335,236.72477,-2830.832,54853.749,-71925.379,364.53127,-9.1185622,230468.51,1.3355542
208000,769.92363,19276.065,18596.063,680.0021,-2881.1904,54924.797,-71915.506,361.05063,-62.59658,231855.68,1.3275637
209000,773.83327,18990.136,18668.789,321.34699,-2798.6034,54742.534,-71948.185,362.46262,164.57631,229311.25,1.3422943
210000,777.5519,19209.473,18725.573,483.89994,-2827.2751,54832.319,-71942.712,363.56512,140.32858,229856.39,1.3391108
211000,781.113,19151.434,18826.815,324.61933,-2856.0564,54801.499,-71940.121,365.53078,103.35923,229116.94,1.3434327
212000,784.69097,18888.481,18568.881,319.60024,-2726.6611,54765.996,-71944.304,360.52287,146.01082,230521.31,1.3352483
213000,788.25744,19016.638,18655.437,361.20041,-2731.1607,54746.085,-71967.734,362.2034,69.497556,229703.21,1.3400038
214000,792.04022,19318.064,18951.561,366.50223,-2806.3394,54724.965,-71919.295,367.95278,150.58867,229235.79,1.3427362
215000,796.27966,19122.548,18570.874,551.67428,-2768.5408,54852.159,-71941.076,360.56157,41.314701,230585.13,1.3348787
